x,y,species_1 cloglog values
632.0,632.0,5.4001744E-4
633.0,633.0,0.17895089
634.0,634.0,8.5067545E-4
635.0,635.0,0.12511095
636.0,636.0,0.48946467
637.0,637.0,0.29441822
638.0,638.0,0.36829942
639.0,639.0,0.13682368
640.0,640.0,7.5261603E-4
641.0,641.0,0.013037285
642.0,642.0,0.0011872516
643.0,643.0,0.868454
644.0,644.0,0.0046260217
645.0,645.0,0.11750374
646.0,646.0,0.9695221
647.0,647.0,0.039796297
648.0,648.0,8.3004226E-5
649.0,649.0,0.0029777922
650.0,650.0,0.10727588
651.0,651.0,0.37275565
652.0,652.0,0.004738316
653.0,653.0,0.12829918
654.0,654.0,0.2624262
655.0,655.0,0.008861503
656.0,656.0,0.59144515
657.0,657.0,0.56089234
658.0,658.0,1.7648975E-4
659.0,659.0,0.20365721
660.0,660.0,0.19481078
661.0,661.0,0.014144789
662.0,662.0,0.08128692
663.0,663.0,0.6072783
664.0,664.0,2.4457555E-4
665.0,665.0,0.34831327
666.0,666.0,0.028681336
667.0,667.0,0.004883912
668.0,668.0,0.0019156843
669.0,669.0,0.58300555
670.0,670.0,4.199904E-4
671.0,671.0,0.44747272
672.0,672.0,0.012711311
673.0,673.0,0.0012490773
674.0,674.0,0.0052562915
675.0,675.0,0.20795655
676.0,676.0,0.3138518
677.0,677.0,3.070378E-4
678.0,678.0,3.3544242E-5
679.0,679.0,0.0015264662
680.0,680.0,0.2397858
681.0,681.0,0.0042234077
682.0,682.0,0.0014631031
683.0,683.0,9.657328E-4
684.0,684.0,0.2838369
685.0,685.0,0.6363872
686.0,686.0,0.0014490874
687.0,687.0,1.115439E-4
688.0,688.0,0.102501355
689.0,689.0,0.25845805
690.0,690.0,0.5328742
691.0,691.0,0.32093817
692.0,692.0,0.0027808398
693.0,693.0,0.59911007
694.0,694.0,0.0069548856
695.0,695.0,0.2818896
696.0,696.0,5.204597E-4
697.0,697.0,0.1997565
698.0,698.0,0.36055362
699.0,699.0,0.9979826
700.0,700.0,0.50794935
701.0,701.0,0.07328217
702.0,702.0,0.0012986864
703.0,703.0,0.46587285
704.0,704.0,0.29867435
705.0,705.0,0.016137207
706.0,706.0,0.4220125
707.0,707.0,0.22457221
708.0,708.0,0.0014730633
709.0,709.0,0.078425474
710.0,710.0,0.3406941
711.0,711.0,0.4478313
712.0,712.0,0.25671676
713.0,713.0,0.0012232913
714.0,714.0,0.0015263694
715.0,715.0,0.26408792
716.0,716.0,0.003863751
717.0,717.0,2.921082E-4
718.0,718.0,0.28032765
719.0,719.0,6.8726286E-4
720.0,720.0,0.09872803
721.0,721.0,0.0010547993
722.0,722.0,0.005656539
723.0,723.0,0.8817316
724.0,724.0,0.13607208
725.0,725.0,1.4425146E-4
726.0,726.0,2.6274329E-5
727.0,727.0,0.16468821
728.0,728.0,0.0052433717
729.0,729.0,0.40127105
730.0,730.0,1.8434055E-4
731.0,731.0,0.030104956
732.0,732.0,8.079552E-4
733.0,733.0,0.035952773
734.0,734.0,0.36428368
735.0,735.0,0.046338104
736.0,736.0,0.19120924
737.0,737.0,0.0011328603
738.0,738.0,0.3339277
739.0,739.0,0.007822708
740.0,740.0,0.005033382
741.0,741.0,0.003955729
742.0,742.0,0.042770937
743.0,743.0,0.30253264
744.0,744.0,0.28905004
745.0,745.0,0.4596066
746.0,746.0,0.1217482
747.0,747.0,0.11397143
748.0,748.0,0.3244176
749.0,749.0,9.908153E-4
750.0,750.0,0.09253135
751.0,751.0,0.21202877
752.0,752.0,0.031260587
753.0,753.0,1.1219363E-4
754.0,754.0,2.4036826E-5
755.0,755.0,0.32125843
756.0,756.0,0.02454348
757.0,757.0,0.43407053
758.0,758.0,0.46785495
759.0,759.0,0.19982256
760.0,760.0,0.172812
761.0,761.0,2.216846E-4
762.0,762.0,0.6369598
763.0,763.0,0.56193113
764.0,764.0,0.37677398
765.0,765.0,3.1946483E-4
766.0,766.0,0.3287572
767.0,767.0,0.003588119
768.0,768.0,0.0012953433
769.0,769.0,2.965051E-4
770.0,770.0,0.0011174618
771.0,771.0,0.3445478
772.0,772.0,6.408701E-4
773.0,773.0,0.34414223
774.0,774.0,8.425938E-4
775.0,775.0,0.16132863
776.0,776.0,0.3692011
777.0,777.0,0.51925766
778.0,778.0,0.26484963
779.0,779.0,0.7495713
780.0,780.0,6.639934E-5
781.0,781.0,0.35911438
782.0,782.0,0.30629036
783.0,783.0,0.2465033
784.0,784.0,0.31562126
785.0,785.0,0.035842333
786.0,786.0,5.029962E-4
787.0,787.0,0.03430807
788.0,788.0,0.99979496
789.0,789.0,0.2922334
790.0,790.0,0.0037658385
791.0,791.0,0.33856902
792.0,792.0,2.3929228E-4
793.0,793.0,0.38517836
794.0,794.0,0.14839523
795.0,795.0,0.0021757972
796.0,796.0,0.30773172
797.0,797.0,0.017170103
798.0,798.0,8.677966E-4
799.0,799.0,0.0014015033
800.0,800.0,5.990573E-4
801.0,801.0,5.4211105E-4
802.0,802.0,0.6306894
803.0,803.0,4.0522692E-4
804.0,804.0,0.12225788
805.0,805.0,0.1860266
806.0,806.0,0.08507568
807.0,807.0,0.24710622
808.0,808.0,3.9841916E-4
809.0,809.0,0.25247136
810.0,810.0,0.07722313
811.0,811.0,0.115183055
812.0,812.0,0.0035466927
813.0,813.0,1.3573878E-4
814.0,814.0,0.41341928
815.0,815.0,1.024676E-4
816.0,816.0,0.0011511324
817.0,817.0,0.012800195
818.0,818.0,0.0011279085
819.0,819.0,0.053156074
820.0,820.0,2.7644768E-4
821.0,821.0,0.068081126
822.0,822.0,0.14444982
823.0,823.0,0.16237569
824.0,824.0,0.1413262
825.0,825.0,0.31092465
826.0,826.0,0.0023788055
827.0,827.0,0.27314004
828.0,828.0,9.152878E-4
829.0,829.0,9.3815126E-4
830.0,830.0,0.10531523
831.0,831.0,0.21694914
832.0,832.0,0.0013837955
833.0,833.0,0.09284971
834.0,834.0,0.0010719119
835.0,835.0,0.5847007
836.0,836.0,7.156466E-4
837.0,837.0,0.8557915
838.0,838.0,0.039842643
839.0,839.0,0.003543906
840.0,840.0,0.3723135
841.0,841.0,0.23678505
842.0,842.0,0.025169514
843.0,843.0,0.80329317
844.0,844.0,7.07412E-4
845.0,845.0,0.0051352885
846.0,846.0,0.03392729
847.0,847.0,0.25784504
848.0,848.0,0.10756297
849.0,849.0,0.17027926
850.0,850.0,0.4659979
851.0,851.0,2.6081745E-5
852.0,852.0,0.20904024
853.0,853.0,0.10167246
854.0,854.0,0.04941915
855.0,855.0,0.09483355
856.0,856.0,0.018318476
857.0,857.0,0.0037467966
858.0,858.0,0.30873236
859.0,859.0,0.3890622
860.0,860.0,2.658325E-4
861.0,861.0,0.21105027
862.0,862.0,0.015658187
863.0,863.0,2.5345356E-4
864.0,864.0,0.016903644
865.0,865.0,0.92588913
866.0,866.0,0.0024380484
867.0,867.0,0.2933769
868.0,868.0,0.29868463
869.0,869.0,0.069287
870.0,870.0,0.40448374
