x,y,species_1 cloglog values
456.0,456.0,7.5926E-5
457.0,457.0,0.0067724776
458.0,458.0,4.5431798E-4
459.0,459.0,0.5823033
460.0,460.0,1.1643119E-4
461.0,461.0,3.5091543E-5
462.0,462.0,4.454757E-4
463.0,463.0,0.0059234803
464.0,464.0,8.15867E-5
465.0,465.0,0.004832227
466.0,466.0,6.353945E-4
467.0,467.0,0.0116473
468.0,468.0,0.0021727178
469.0,469.0,0.0018405318
470.0,470.0,0.002183299
471.0,471.0,0.017960597
472.0,472.0,9.5433736E-4
473.0,473.0,0.09608902
474.0,474.0,0.002612809
475.0,475.0,0.0023044227
476.0,476.0,0.003939904
477.0,477.0,0.0076930327
478.0,478.0,0.020333534
479.0,479.0,1.383698E-7
480.0,480.0,0.012547766
481.0,481.0,0.009969422
482.0,482.0,0.015415838
483.0,483.0,0.0058340505
484.0,484.0,0.013434844
485.0,485.0,0.71112967
486.0,486.0,0.0023711508
487.0,487.0,0.01192372
488.0,488.0,0.6902355
489.0,489.0,4.5538077E-4
490.0,490.0,0.006221432
491.0,491.0,3.2941354E-4
492.0,492.0,0.005826822
493.0,493.0,5.7718622E-5
494.0,494.0,0.050950542
495.0,495.0,4.2640525E-4
496.0,496.0,0.0015669421
497.0,497.0,0.001090606
498.0,498.0,0.6746169
499.0,499.0,0.7238332
500.0,500.0,0.7195284
501.0,501.0,0.0011392217
502.0,502.0,6.771752E-5
503.0,503.0,0.0013295606
504.0,504.0,0.011962713
505.0,505.0,0.0013863611
506.0,506.0,0.04202765
507.0,507.0,0.0040059923
508.0,508.0,0.70042723
509.0,509.0,1.806334E-6
510.0,510.0,9.2291716E-4
511.0,511.0,0.69978005
512.0,512.0,0.0034604324
513.0,513.0,0.0059842947
514.0,514.0,0.017789392
515.0,515.0,0.0013071201
516.0,516.0,7.06604E-6
517.0,517.0,0.0029880488
518.0,518.0,0.51582676
519.0,519.0,0.0016588905
520.0,520.0,6.0924826E-6
521.0,521.0,1.4579942E-4
522.0,522.0,5.347184E-6
523.0,523.0,2.3369538E-4
524.0,524.0,4.670794E-5
525.0,525.0,0.48394188
526.0,526.0,0.012652536
527.0,527.0,7.489839E-5
528.0,528.0,1.4211843E-5
529.0,529.0,0.82202107
530.0,530.0,9.510393E-5
531.0,531.0,1.4636849E-4
532.0,532.0,7.158721E-5
533.0,533.0,0.004585848
534.0,534.0,0.0017893473
535.0,535.0,1.7185574E-5
536.0,536.0,3.1441118E-4
537.0,537.0,3.340185E-5
538.0,538.0,0.23604959
539.0,539.0,5.584052E-4
540.0,540.0,0.010046881
541.0,541.0,0.0038110267
542.0,542.0,0.03640401
543.0,543.0,0.100919336
544.0,544.0,3.6487298E-4
545.0,545.0,0.726322
546.0,546.0,0.0015666712
547.0,547.0,2.2495388E-4
548.0,548.0,0.004208649
549.0,549.0,6.057567E-6
550.0,550.0,0.0035807807
551.0,551.0,0.09265113
552.0,552.0,1.9995838E-5
553.0,553.0,0.0072595775
554.0,554.0,0.0040226565
555.0,555.0,4.5234465E-5
556.0,556.0,0.0026213613
557.0,557.0,0.0045792493
558.0,558.0,0.3330508
559.0,559.0,0.00491706
