x,y,species max
880.0,880.0,0.84702134
881.0,881.0,0.04606345
882.0,882.0,0.0055175554
883.0,883.0,2.1118853E-4
884.0,884.0,0.028001608
885.0,885.0,0.0012476326
886.0,886.0,8.5795845E-4
887.0,887.0,0.038311344
888.0,888.0,0.0020100288
889.0,889.0,4.1614578E-5
890.0,890.0,0.3551296
891.0,891.0,3.1648902E-4
892.0,892.0,7.0329246E-5
893.0,893.0,0.018857503
894.0,894.0,0.00503324
895.0,895.0,0.13132203
896.0,896.0,0.007696344
897.0,897.0,0.0114422375
898.0,898.0,0.06115902
899.0,899.0,0.0044628927
900.0,900.0,0.0068900883
901.0,901.0,9.1665646E-4
902.0,902.0,0.011612734
903.0,903.0,0.002217222
904.0,904.0,0.114939444
905.0,905.0,0.0121880835
906.0,906.0,9.076618E-4
907.0,907.0,0.28088844
908.0,908.0,0.7247882
909.0,909.0,0.0073295035
910.0,910.0,0.0029185892
911.0,911.0,0.8095749
912.0,912.0,0.0095555475
913.0,913.0,6.477185E-4
914.0,914.0,0.0015931721
915.0,915.0,6.789981E-4
916.0,916.0,0.0026388932
917.0,917.0,1.18570664E-4
918.0,918.0,0.007205687
919.0,919.0,0.6142318
920.0,920.0,0.72709
921.0,921.0,0.7860806
922.0,922.0,0.009723168
923.0,923.0,0.0142372465
924.0,924.0,3.320081E-4
925.0,925.0,0.015669247
926.0,926.0,0.097325735
927.0,927.0,0.0025652687
928.0,928.0,0.0075704455
929.0,929.0,0.7333572
930.0,930.0,0.003747899
931.0,931.0,0.9619197
932.0,932.0,0.010546845
933.0,933.0,0.74713016
934.0,934.0,0.0067072255
935.0,935.0,8.687728E-4
936.0,936.0,0.028804442
